fm_id,type,Title,alternative_title,language,y1,y2,d1,d2,m1,m2,format,place_id_fk1,place_id_fk2,link,ext_notes,import
1651,printed,Casus breves super totum corpus legum vel iuris civilis,"ex lecturis Bartoli de Saxoferrato, Baldi de Ubaldis et Jacobi de Bellovisu (Digesta (I)/Codex, Institutiones, Authentica. Liber feudorum (II). Partes I-II",Latin,1481,1485,0,0,0,0,2o,5364,0,http://www.odis.be/lnk/en/PB_46035,<p>Civil Law</p><p>Feudal Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1652,printed,De iure feudorum commentarius,0,Latin,1641,1641,0,0,0,0,4o,2,0,http://www.odis.be/lnk/en/PB_46036,<p>Printed together with a textbook of Henricus Zoesius =&gt;&nbsp;Praelectiones feudales (ODIS/<span>PB_46370)</span></p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1653,printed,De iure pacis commentarius,In quo praecipuae de hoc iure quaestiones distinctis capitibus eleganter pertractantur/Editio secunda,Latin,1641,1641,0,0,0,0,4o,2,0,http://www.odis.be/lnk/en/PB_46037,<p>Civil Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1654,printed,De iure feudorum et pacis commentarii,0,Latin,1663,1663,0,0,0,0,4o,2,0,http://www.odis.be/lnk/en/PB_46038,<p>Feudal Law</p><p>Civil Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1655,printed,De iure pacis commentarius,0,Latin,1663,1663,0,0,0,0,4o,2,0,http://www.odis.be/lnk/en/PB_46039,<p>Civil Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1656,printed,"Ad titulos dig. & cod. de testamentis commentarius, iuris Romani & morum hodiernorum differentias continens",0,Latin,1653,1653,0,0,0,0,8o,2,0,http://www.odis.be/lnk/en/PB_46040,<p>Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1657,printed,Commentariorum de iure novissimo libri sex,"optimâ methodo, accuratè ac eruditè conscripti, additis harum vicinarumque regionum moribus",Latin,1620,1620,0,0,0,0,2o,26,0,http://www.odis.be/lnk/en/PB_46041,<p>Civil Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1658,printed,Commentariorum de iure novissimo libri sex,0,Latin,1644,1644,0,0,0,0,2o,26,0,http://www.odis.be/lnk/en/PB_46042,<p>Civil Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1659,printed,Syntagma regularum iuris utriusque,0,Latin,1646,1646,0,0,0,0,2o,26,0,http://www.odis.be/lnk/en/PB_46045,<p>Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1660,printed,Opera omnia,0,Latin,1685,1685,0,0,0,0,2o,26,0,http://www.odis.be/lnk/en/PB_46046,<p>Civil Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1661,printed,Commentariorum de iure novissimo libri sex,0,Latin,1639,1639,0,0,0,0,4o,28,0,http://www.odis.be/lnk/en/PB_46047,<p>Civil Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1662,printed,Commentariorum de iure novissimo libri sex,0,Latin,1643,1643,0,0,0,0,4o,28,0,http://www.odis.be/lnk/en/PB_46048,<p>Civil Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1663,printed,Super Institutiones,0,Latin,1481,1482,0,0,0,0,2o,737,0,http://www.odis.be/lnk/en/PB_46052,<p>Civil Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1664,printed,Super Institutiones,0,Latin,1482,1482,0,0,0,0,2o,737,0,http://www.odis.be/lnk/en/PB_46053,<p>Civil Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1665,printed,Commentariorum de iure novissimo libri sex,0,Latin,1661,1661,0,0,0,0,4o,28,0,http://www.odis.be/lnk/en/PB_46056,<p>Civil Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1666,printed,De iure pacis commentarius,0,Latin,1648,1648,0,0,0,0,12o,5004,0,http://www.odis.be/lnk/en/PB_46057,<p>Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1667,printed,De iure feudorum et pacis commentarii,Editio Quarta Correctior,Latin,1663,1663,0,0,0,0,8o,737,0,http://www.odis.be/lnk/en/PB_46058,<p>Civil Law</p><p>Feudal Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1668,printed,De iure pacis commentarius,Editio Quarta,Latin,1663,1663,0,0,0,0,8o,737,0,http://www.odis.be/lnk/en/PB_46060,<p>Civil Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1669,printed,Commentariorum de iure novissimo libri sex,Editio Novissima,Latin,1668,1668,0,0,0,0,4o,3255,0,http://www.odis.be/lnk/en/PB_46061,<p>Civil Law</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1670,printed,"Commentaria in isagogen Porphyrii, et in omnes libros Aristotelis de dialectica, sumptibus facultatis artium in academia Lovaniensi per peritissimos viros composita",0,Latin,1547,1547,0,0,0,0,2o,2,0,http://www.odis.be/lnk/en/PB_46089,<p>philosophy =&gt; logic</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1671,printed,"Eisagōgē. Aristotelous, katēgoriōn vivlion 1. Peri ermēneias vivlion 1. Analytikōn proterōn vivlia 2. Analytikōn ysterōn vivlia 2. Topikōn vivlia 8. Peri sophistikōn elegchōn vivlia dyo","Haec insunt in hoc libro.Aristotelis, Praedicamentorum liber unus. Peri hermenias id est De interpretatione, liber unus. Priorum resolutoriorum libri duo. Posteriorum resolutoriorum libri duo. Topicorum libri octo. De Sophisticis elenchis libri duo",Greek; Latin,1523,1523,0,0,0,0,4o,2,0,http://www.odis.be/lnk/en/PB_46090,<p>philosophy =&gt; logic</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1672,printed,Textus veteris artis (Logica vetus),0,Latin,1509,1509,0,0,0,0,2o,26,0,http://www.odis.be/lnk/en/PB_46118,0,Imported from 20231128_ml_ingest_odis_ml_pb.json
1673,printed,"De disputatione inter disceptantes, dialectice instituenda libellus. Praeterea, fundamentum logices puriori sermone conscriptum",0,Latin,1551,1551,0,0,0,0,8o,2,0,http://www.odis.be/lnk/en/PB_46121,0,Imported from 20231128_ml_ingest_odis_ml_pb.json
1674,printed,Prodidagmata de dialectices vocum affectionibus et proprietatibus,0,Latin,1564,1564,0,0,0,0,8o,26,0,http://www.odis.be/lnk/en/PB_46122,0,Imported from 20231128_ml_ingest_odis_ml_pb.json
